,eid,doi,pii,pubmed_id,title,subtype,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
234,2-s2.0-85008943058,10.1086/689994,,28051944,"Glucocorticoids in fish eggs: Variation, interactions with the environment, and the potential to shape offspring fitness",re,Sopinka N.,60012468,University of Windsor,Windsor,Canada,4,"Sopinka, N. M.;Capelle, P. M.;Semeniuk, C. A.D.;Love, O. P.",33068380800;57189973391;36948807000;6603082825,60012468;60012468;60012468;60012468,2017-01-01,January-February 2017,Physiological and Biochemical Zoology,15222152,23318,,Journal,90,1,,15-33,"© 2016 by The University of Chicago. All rights reserved. Wild and captive vertebrates face multiple stressors that all have the potential to induce chronic maternal stress (i.e., sustained, elevated plasma glucocorticoids), resulting in embryo exposure to elevated maternally derived glucocorticoids. In oviparous taxa such as fish, maternally derived glucocorticoids in eggs are known for their capacity to shape offspring phenotype. Using a variety of methodologies, scientists have quantified maternally derived levels of egg cortisol, the primary glucocorticoid in fishes, and examined the cascading effects of egg cortisol on progeny phenotype. Here we summarize and interpret the current state of knowledge on egg cortisol in fishes and the relationships linking maternal stress/state to egg cortisol and offspring phenotype/fitness. Considerable variation in levels of egg cortisol exists across species and among females within a species; this variation is hypothesized to be due to interspecific differences in reproductive life history and intraspecific differences in female condition. Outcomes of experimental studies manipulating egg cortisol vary both inter- and intraspecifically. Moreover, while exogenous elevation of egg cortisol (as a proxy for maternal stress) induces phenotypic changes commonly considered to be maladaptive (e.g., smaller offspring size), emerging work in other taxa suggests that there can be positive effects on fitness when the offspring’s environment is taken into account. Investigations into (i) mechanisms by which egg cortisol elicits phenotypic change in offspring (e.g., epigenetics), (ii) maternal and offspring buffering capacity of cortisol, and (iii) factors driving natural variation in egg cortisol and how this variation affects offspring phenotype and fitness are all germane to discussions on egg glucocorticoids as signals of maternal stress.",Cortisol | Intergenerational effects | Match/mismatch | Maternal stress | Oocyte | Phenotype,15,0,,undefined,Canada Research Chairs
235,2-s2.0-85021123584,10.1007/s00128-017-2125-3,,28638964,Ships’ Ballast Water Treatment by Chlorination Can Generate Toxic Trihalomethanes,ar,Hernandez M.,60012468,University of Windsor,Windsor,Canada,4,"Hernandez, Marco R.;Ismail, Nargis;Drouillard, Ken G.;MacIsaac, Hugh J.",55423134800;16230085400;6603936268;7004824705,60012468;60012468;60012468;60012468,2017-01-01,2017,Bulletin of Environmental Contamination and Toxicology,00074861,24624,14320800,Journal,99,2,,194-199,"© 2017, Springer Science+Business Media, LLC. The International Maritime Organization (IMO) will enforce a new abundance-based performance standard for ballast water in September, 2017. Strong oxidants, like chlorine, have been proposed as a method for achieving this standard. However chlorine treatment of ballast water can produce hazardous trihalomethanes. We assessed maximum trihalomethane production from one chlorine dose for three types of ballast water (fresh, brackish and marine) and three levels of total organic carbon (TOC) concentration (natural, filtered, enhanced). While the current standard test considers a 5 day voyage, there is a high possibility of shorter trips and sudden change of plans that will release treated waters in the environment. Water source and TOC significantly affected trihalomethane production, with the highest amounts generated in brackish waters and enhanced TOC concentration. The concentration of brominated trihalomethanes increased from background levels and was highest in brackish water, followed by marine and fresh water.",Brackish | Freshwater | IMO D-2 standard | Seawater | THMs | TOC,0,0,,undefined,Natural Sciences and Engineering Research Council of Canada
236,2-s2.0-85009063703,10.1371/journal.pone.0169810,,28076391,Assessing sexual dicromatism: The importance of proper parameterization in tetrachromatic visual models,ar,Bitton P.,60017246;60012468,Universität Tübingen;University of Windsor,Tubingen;Windsor,Germany;Canada,3,"Bitton, Pierre Paul;Janisse, Kevyn;Doucet, Stéphanie M.",16229745700;57192920681;7003298791,60012468-60017246;60012468;60012468,2017-01-01,January 2017,PLoS ONE,,10600153309,19326203,Journal,12,1,e0169810,,"© 2017 Bitton et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. Perceptual models of animal vision have greatly contributed to our understanding of animalanimal and plant-animal communication. The receptor-noise model of color contrasts has been central to this research as it quantifies the difference between two colors for any visual system of interest. However, if the properties of the visual system are unknown, assumptions regarding parameter values must be made, generally with unknown consequences. In this study, we conduct a sensitivity analysis of the receptor-noise model using avian visual system parameters to systematically investigate the influence of variation in light environment, photoreceptor sensitivities, photoreceptor densities, and light transmission properties of the ocular media and the oil droplets. We calculated the chromatic contrast of 15 plumage patches to quantify a dichromatism score for 70 species of Galliformes, a group of birds that display a wide range of sexual dimorphism. We found that the photoreceptor densities and the wavelength of maximum sensitivity of the short-wavelength-sensitive photoreceptor 1 (SWS1) can change dichromatism scores by 50% to 100%. In contrast, the light environment, transmission properties of the oil droplets, transmission properties of the ocular media, and the peak sensitivities of the cone photoreceptors had a smaller impact on the scores. By investigating the effect of varying two or more parameters simultaneously, we further demonstrate that improper parameterization could lead to differences between calculated and actual contrasts of more than 650%. Our findings demonstrate that improper parameterization of tetrachromatic visual models can have very large effects on measures of dichromatism scores, potentially leading to erroneous inferences. We urge more complete characterization of avian retinal properties and recommend that researchers either determine whether their species of interest possess an ultraviolet or near-ultraviolet sensitive SWS1 photoreceptor, or present models for both.",,9,1,,undefined,Field Museum
237,2-s2.0-85000762819,10.1007/s00128-016-1987-0,,27904926,Polychlorinated Biphenyl Bioaccumulation Patterns Among Lake Erie Lower Trophic Level Consumers Reflect Species Ecologies,ar,Pitt J.,60018741;60016536;60012468,State University of New York Upstate Medical University;Michigan Technological University;University of Windsor,Syracuse;Houghton;Windsor,United States;United States;Canada,3,"Pitt, Jordan A.;Drouillard, Ken G.;Paterson, Gordon",57197875932;6603936268;7005892778,60018741;60012468;60018741-60016536,2017-01-01,1 January 2017,Bulletin of Environmental Contamination and Toxicology,00074861,24624,14320800,Journal,98,1,,65-70,"© 2016, Springer Science+Business Media New York. Polychlorinated biphenyl (PCB) concentrations were quantified in lower trophic level consumers of the Lake Erie western basin food web to assess the capacity of PCBs to discriminate among trophically similar species inhabiting different compartments of the same ecosystem. Zooplankton were characterized by higher proportions of less chlorinated and hydrophobic homologs relative to zebra mussel (Dreissena polymorpha), mayfly (Hexagenia limbata) and emerald shiner (Notropis atherinoides) samples. PCB biota-sediment accumulation factors (BSAF) differed significantly among species with zebra mussels and emerald shiners having the highest BSAFs. Principal components analysis of sample PCB profiles reflected the contrasting pelagic and benthic habitats occupied by filter-feeding zooplankton and zebra mussel samples. Benthic mayfly PCB profiles were characterized by increasingly hydrophobic (logKOW ≥ 6.9) congeners with more variable emerald shiner profiles reflecting the greater mobility and extent of spatial habitat integration achieved by this secondary consumer. These results contribute to growing evidence for the use of PCBs as ecological tracers in aquatic ecosystems.",Bioaccumulation | Ecology | Hydrophobicity | Polychlorinated biphenyl | Tracer,4,0,,undefined,"College of Environmental Science and Forestry, State University of New York"
238,2-s2.0-85017001839,10.18632/oncotarget.15578,,,"The cyclin-like protein, SPY1, regulates the ERa and ERK1/2 pathways promoting tamoxifen resistance",ar,Ferraiuolo R.,60099952;60012468;118322747,Windsor Regional Hospital;University of Windsor;Acenzia Inc,Windsor;Windsor;Windsor,Canada;Canada;Canada,5,"Ferraiuolo, Rosa Maria;Tubman, Janice;Sinha, Indrajit;Hamm, Caroline;Porter, Lisa Ann",57193838454;57189589574;57206458406;23489017100;35554692300,60012468;60012468-118322747;118322747;60012468-60099952;60012468,2017-01-01,2017,Oncotarget,,19900191708,19492553,Journal,8,14,,23337-23352,"The Ras/Raf/MEK/ERK pathway conveys growth factor and mitogen signalling to control the phosphorylation of a plethora of substrates regulating proliferation, survival, and migration. The Ras signalling pathway is frequently associated with poor prognosis and drug resistance in various cancers including those of the blood, breast and prostate. Activation of the downstream effector ERK does not always occur via a linear cascade of events; complicating the targeting of this pathway therapeutically. This work describes a novel positive feedback loop where the cell cycle regulatory factor Spy1 (RINGO; gene SPDYA) activates ERK1/2 in a MEK-independent fashion. Spy1 was originally isolated for the ability to stimulate Xenopus oocyte maturation via a MAPK-signalling pathway and is known to override apoptosis triggered by the DNA damage response. We demonstrate that mammalian Spy1-mediated ERK activation increases ligand-independent phosphorylation and activation of estrogen receptor a, correlating with a decrease in tamoxifen sensitivity. This could define a novel druggable mechanism driving proliferation and resistance in select cancers.",Cdk | Cell cycle | Cyclin | Estrogen | Tamoxifen,2,1,,142189,Canadian Institutes of Health Research
239,2-s2.0-84961212169,10.1007/s00300-016-1928-8,,,Capture-induced stress in deep-water Arctic fish species,ar,Barkley A.,60017592;60012468;60010833,Carleton University;University of Windsor;Fisheries and Oceans Canada,Ottawa;Windsor;Ottawa,Canada;Canada;Canada,5,"Barkley, Amanda N.;Cooke, Steven J.;Fisk, Aaron T.;Hedges, Kevin;Hussey, Nigel E.",56414693500;24320083600;7006248240;57203911886;26655541500,60012468;60017592;60012468;60010833;60012468,2017-01-01,1 January 2017,Polar Biology,07224060,13048,,Journal,40,1,,213-220,"© 2016, Springer-Verlag Berlin Heidelberg. There are significant conservation benefits to studying the stress response of commercially important fish species. Particularly in the Arctic ecosystem, where reducing ice extent has resulted in heightened interest in developing commercial fisheries, there is a need to better understand how fish respond to capture stressors. To that end, blood lactate and glucose of Greenland halibut Reinhardtius hippoglossoides and Greenland shark Somniosus microcephalus were assessed after capture from fishing gear to evaluate factors that might influence physiological disturbance. Greenland halibut lactate values had a mean of 1.0 ± 0.7 mmol/L and showed a positive relationship with time since capture. Blood glucose concentrations for Greenland halibut had a mean of 1.8 ± 0.6 mmol/L and were positively related to both time since capture and fork length. Greenland shark lactate values varied depending on depth, with individuals captured at 300–600 m displaying significantly lower concentrations (1.6 ± 0.5 mmol/L) than those caught at depths between 600 and 700 m (6.4 ± 2.4 mmol/L) and 700–900 m (3.7 ± 1.2 mmol/L). Glucose values for the Greenland shark had a mean of 4.9 ± 1.5 mmol/L and were positively correlated with body length. Relative to temperate fish species, the metabolite concentrations are low but the inherent challenges with deep-water fish makes it difficult to obtain baseline (pre-stress) values to quantify the magnitude of stress response. This is the first study to document stress metabolites in these two Arctic species and suggests that there is a body size and depth-related physiological response to capture.",Capture stress | Glucose | Greenland halibut | Greenland shark | Lactate | Physiology,7,0,,undefined,
240,2-s2.0-85021794961,10.1007/s00128-017-2132-4,,28681163,"Bioaccumulation of Polychlorinated Biphenyls (PCBs) in Atlantic Sea Bream (Archosargus rhomboidalis) from Kingston Harbour, Jamaica",ar,O’Connor A.,60071347;60012468,The University of the West Indies;University of Windsor,Kingston;Windsor,Jamaica;Canada,5,"O’Connor, Ann Tenneil;Robinson, Dwight;Dasgupta, Tara P.;Fisk, Aaron T.;Drouillard, Ken G.",57194715465;7404644813;57198216855;7006248240;6603936268,60071347;60071347;60071347;60012468;60012468,2017-01-01,2017,Bulletin of Environmental Contamination and Toxicology,00074861,24624,14320800,Journal,99,3,,328-332,"© 2017, Springer Science+Business Media, LLC. Multiple sizes of Sea bream were collected from Kingston Harbour, Jamaica, to assess steady state bioaccumulation of polychlorinated biphenyls (PCBs) in a tropical fish. Sea beam fork lengths ranged from 7.3 to 21.5 cm (n = 36 fish) and tissue lipids decreased with body length. Larger fish had lower δ13C isotopes compared to smaller fish, suggesting a change in diet. Linear regressions showed no differences in lipid equivalent sum PCB concentrations with size. However, differences in individual congener bioaccumulation trajectories occurred. Less hydrophobic PCBs decreased with increasing body length, intermediate PCBs showed no trend, whereas highly hydrophobic (above log KOW of 6.5) PCBs increased. The different congener patterns were interpreted to be a result of decreases in overall diet PCB concentrations with increased fish length coupled with differences in PCB toxicokinetics as a function of hydrophobicity yielding dilution, pseudo-steady state and non-steady state bioaccumulation patterns.",Biomagnification | Kingston Harbour | POPs | Stable isotopes | Toxicokinetics,2,0,,undefined,Natural Sciences and Engineering Research Council of Canada
241,2-s2.0-85024505667,10.22621/cfn.v131i1.1779,,,A population-level analysis of morning song: Exploring the implications for point counts,ar,Foote J.,60024839;60016005;60012468,"Algoma University College;Queen's University, Kingston;University of Windsor",Sault Ste Marie;Kingston;Windsor,Canada;Canada;Canada,5,"Foote, Jennifer R.;Fitzsimmons, Lauren P.;Lobert, Lynnea M.;Ratcliffe, Laurene M.;Mennill, Daniel J.",15839644500;55665701800;56182752500;7004472573;6603983826,60024839;60012468;60024839;60016005;60012468,2017-01-01,2017,Canadian Field-Naturalist,00083550,20071,,Journal,131,1,,10-18,"© The Ottawa Field-Naturalists' Club (2017). Point counts are widely used for conducting ecological surveys of wild birds. Vocal output of birds varies with time of day, and therefore the results of ecological surveys should also vary with time of day. We modeled how males' singing rates change over the morning. We calculated song rates in 3 min sampling periods (the standard sampling period used by the north American breeding bird Survey) and compared how detection rates vary as sampling period increases. We recorded singing activity in 15 neighbourhoods of breeding black-capped Chickadees (Poecile atricapillus) with 16-element microphone arrays that recorded every song from every male in every neighbourhood. We calculated the proportion of males that produced one or more songs during 3, 5, and 10 min count periods between nautical twilight and late morning. our results show a strong peak in singing activity just before sunrise followed by a steady decline in singing activity over the course of the morning. We found that longer sampling periods yielded significantly higher detection rates at all times after sunrise. After sunrise, detection rates never exceeded 60%, even with 10 min sampling periods. We found that unpaired males had significantly higher detection rates than paired males but we found no difference between paired males with fertile versus incubating mates. our results provide strong evidence that, for black-capped Chickadees, surveys during the dawn chorus provide the most comprehensive assessment of the number of birds present, and that longer sampling periods yield significantly better estimates of population sizes at all times after sunrise.",Acoustic location system | Black-capped Chickadee | Dawn song | Detection rate | Point count,1,1,,undefined,Society of Canadian Ornithologists
242,2-s2.0-85029521708,10.1016/j.chemosphere.2017.09.036,S0045653517314509,28934707,Investigating sources and sinks of N<inf>2</inf>O expression from freshwater microbial communities in urban watershed sediments,ar,Weisener C.,60012468;60010884,University of Windsor;Western University,Windsor;London,Canada;Canada,6,"Weisener, Christopher;Lee, Jumin;Chaganti, Subba Rao;Reid, Thomas;Falk, Nick;Drouillard, Ken",6602760377;57195677636;38662201300;56825224400;56840362300;6603936268,60012468;60012468-60010884;60012468;60012468;60012468;60012468,2017-01-01,2017,Chemosphere,00456535,24657,18791298,Journal,188,,,697-705,"© 2017 Elsevier Ltd Wastewater treatment plants (WWTPs) serve as point-source inputs for a variety of nutrients often dominated by nitrogenous compounds as a result of anthropogenic influence. These effluents can impact biogeochemical cycles in freshwater estuaries, influencing microbial communities in both the water and sediment compartments. To assess the impact of point source nutrients, a transect of sediment and pore water samples were collected from 4 locations in the Little River Sub-watershed including locations above and below the Little River Pollution Control Plant (LRPCP). Variation in chemistry and microbial community/gene expression revealed significant influences of the effluent discharge on the adjacent sediments. Phosphorus and sulfur showed high concentrations within plume sediments compared to the reference sediments while nitrate concentrations were low. Increased abundance of denitrifiers Dechloromonas, Dok59 and Thermomonas correlating with increased expression of nitrous-oxide reductase suggests a conversion of N2O to N2 within the LRPCP effluent sediments. This study provides valuable insight into the gene regulation of microbes involved in N metabolism (denitrification, nitrification, and nitrite reduction to ammonia) within the sediment compartment influenced by wastewater effluent.",Metatranscriptomics | Microbial source tracking | Nitrogen cycling | Nutrient pollution | Sediment | Waste water treatment,9,0,,860006,European Genetics Foundation
243,2-s2.0-85029517921,10.1071/MF17022,,,Transcoelomic expulsion of an ingested foreign object by a carcharhinid shark,ar,Kessel S.,60017592;60012468;60011484;119716288;114732989;114726340;112708459,Carleton University;University of Windsor;Rosenstiel School of Marine and Atmospheric Science;Ocean Artworks LLC;Bimini Biological Field Station Foundation;A. Watson Armour III Center for Animal Health and Welfare;Daniel P. Haerther Center for Conservation and Research,Ottawa;Windsor;Miami;Boynton Beach;Chicago;Chicago,Canada;Canada;United States;United States;Bahamas;United States;United States,7,"Kessel, S. T.;Fraser, J.;Van Bonn, W. G.;Brooks, J. L.;Guttridge, T. L.;Hussey, N. E.;Gruber, S. H.",7003529754;57196345608;57201022774;56026525800;26428145000;26655541500;7101800819,112708459;119716288;114726340;60017592;114732989;60012468;60011484,2017-01-01,2017,Marine and Freshwater Research,13231650,27846,,Journal,68,11,,2173-2177,"© CSIRO 2017. A wild lemon shark (Negaprion brevirostris) was observed to expel an ingested foreign object through its body wall, over a minimum period of 435 days. We observed this lemon shark at a recreational diving feeding site off the coast of Juno Beach (FL, USA) on 12 occasions between 6 December 2014 and 14 December 2016. At the final observation, following expulsion, we observed this lemon shark with scar tissue and in apparent healthy condition. At minimum, this lemon shark was able to survive for over 1 year under perforation of its stomach lining, coelom and body wall. This account provides further evidence for the resilience and recovery capabilities of elasmobranch fish.",deep hook | diver observation | gut hook | lemon shark | spiral valve eversion | stomach eversion,3,0,,undefined,
244,2-s2.0-85020259419,10.1016/j.envpol.2017.05.085,S0269749116322783,28599207,Mercury and persistent organic pollutants in native and invading forage species of the Canadian Arctic: Consequences for food web dynamics,ar,Pedro S.,60022659;60012468;60010833;60009697,University of Connecticut;University of Windsor;Fisheries and Oceans Canada;University of Manitoba,Storrs;Windsor;Ottawa;Winnipeg,United States;Canada;Canada;Canada,7,"Pedro, Sara;Fisk, Aaron T.;Tomy, Gregg T.;Ferguson, Steven H.;Hussey, Nigel E.;Kessel, Steven T.;McKinney, Melissa A.",56600288200;7006248240;7004894953;7402673203;26655541500;7003529754;7102573643,60022659;60012468;60009697;60010833;60012468;60012468;60022659,2017-01-01,2017,Environmental Pollution,02697491,23916,18736424,Journal,229,,,229-240,"© 2017 Elsevier Ltd Contaminant dynamics within Arctic marine food webs may be altered through the climate-driven northward invasions of temperate/boreal species. Here, we compare tissue concentrations of total mercury (THg) and legacy and emerging persistent organic pollutants (POPs) in native versus invading forage species sampled from 2012 to 2014 near Arviat, Clyde River, and Resolute Bay, NU, representing, low, mid- and high eastern Canadian Arctic regions, respectively. Concentrations of THg, legacy Σ-polychlorinated biphenyls (ΣPCB) and Σ-organochlorine (ΣOC) pesticides were detected in all forage species, whereas emerging halogenated flame retardants were detected in only a few individuals. Concentrations of major contaminant groups among regions did not vary for Arctic cod (Boreogadus saida), while for sculpin (Cottoidea) there was no clear latitudinal trend. Thus, considering interspecific variation, native sculpin and northern shrimp (Pandalus borealis) had the highest overall concentrations of THg (0.17 ± 0.02 and 0.21 ± 0.01 μg g−1 wet weight, respectively), ΣPCB (322 ± 35 and 245 ± 25 ng g−1 lipid weight (lw), respectively), and ΣOC (413 ± 38 and 734 ± 64 ng g−1 lw, respectively). Comparing the keystone native species, Arctic cod, to its ‘replacement’ species, capelin (Mallotus villosus) and sandlance (Ammodytes spp.), THg concentrations were higher in Arctic cod compared to capelin (p < 0.001), which was partly explained by differences in fish length. Conversely, capelin and sandlance had higher concentrations of most POPs than Arctic cod (p < 0.02). Neither feeding habitat (based on δ13C), trophic position (based on δ15N), nor fish length significantly explained these differences in POPs between Arctic cod, capelin and sandlance. Higher POPs concentrations, as well as variation in congener/compound patterns, in capelin and sandlance relative to Arctic cod seem, therefore, more likely related to a more “temperate”-type contaminant signature in the invaders. Nevertheless, the relatively small (up to two-fold) magnitude of these differences suggested limited effects of these ecological changes on contaminant uptake by Arctic piscivores.",Arctic | Climate change | Invasion | Mercury | Organic contaminants,5,0,,undefined,
245,2-s2.0-85013946496,10.1139/cjfas-2016-0196,,,First documented large-scale horizontal movements of individual Arctic cod (Boreogadus saida),ar,Kessel S.,60016280;60012468;60009697;118163079,East Carolina University;University of Windsor;University of Manitoba;VEMCO Ltd.,Greenville;Windsor;Winnipeg;Bedford,United States;Canada;Canada;Canada,7,"Kessel, S. T.;Hussey, N. E.;Crawford, R. E.;Yurkowski, D. J.;Webber, D. M.;Dick, T. A.;Fisk, A. T.",7003529754;26655541500;7402584523;50062146900;7005126194;7102342014;7006248240,60012468;60012468;60016280;60012468;118163079;60009697;60012468,2017-01-01,2017,Canadian Journal of Fisheries and Aquatic Sciences,0706652X,12016,12057533,Journal,74,3,,292-296,"© 2017, Canadian Science Publishing. All Rights Reserved. Arctic cod (Boreogadus saida) are a key component of the Arctic marine ecosystem. Understanding their movements and distribution is important for predicting future trends in response to climate change. It was commonly assumed that Arctic cod move horizontally throughout the Arctic, but this was so far unproven. In July 2012, 85 Arctic cod were implanted with acoustic transmitters at Resolute Bay, Nunavut, Canada. Five (5.9%) were subsequently detected ∼192 km due east along the Barrow Strait, between 67 and 215 days after last detection in Resolute Bay (mean ± SE = 161.4 ± 26.7 days). Minimum transition rates ranged between 0.89 and 2.87 km·day−1 (mean ± SE = 1.4 ± 0.4 km·day−1). A combination of factors, most notably sea ice extent, make it highly improbable that the detections were representative of predated or scavenged Arctic cod. This represents the first confirmed account of large-scale horizontal movements by this or any Arctic forage fish species. With continuing miniaturization of acoustic telemetry tags, increasing battery life, and expanded receiver coverage, it will be possible to gain a more comprehensive understanding of Arctic cod movements.",,3,0,,undefined,Environment Canada
246,2-s2.0-85007603431,10.3354/meps11950,,,Influence of sea ice phenology on the movement ecology of ringed seals across their latitudinal range,ar,Yurkowski D.,60072871;60029616;60019000;60012468;60010833;60007098,"Greenland Institute of Natural Resources;Aarhus Universitet;Memorial University of Newfoundland;University of Windsor;Fisheries and Oceans Canada;Freshwater Institute, Fisheries and Oceans Canada",Godthaab;Aarhus;St John's;Windsor;Ottawa;Winnipeg,Greenland;Denmark;Canada;Canada;Canada;Canada,10,"Yurkowski, David J.;Semeniuk, Christina A.D.;Harwood, Lois A.;Rosing-Asvid, Aqqalu;Dietz, Rune;Brown, Tanya M.;Clackett, Sydney;Grgicak-Mannion, Alice;Fisk, Aaron T.;Ferguson, Steven H.",50062146900;36948807000;8088884200;6602936556;7203003549;35336009100;57192720390;14119836000;7006248240;7402673203,60012468;60012468;60010833;60072871;60029616;60019000;60012468;60012468;60012468;60007098,2016-12-29,29 December 2016,Marine Ecology Progress Series,01718630,12169,,Journal,562,,,237-250,"© 2016 The authors. Environmental variation influences resource distribution, thereby affecting animal movement and foraging decisions. Climate change is altering environmental processes worldwide, but particularly in the Arctic, where changes in the phenology of sea ice have been redistributing resources across space and time. How polar marine predators such as ringed seals Pusa hispida hispida, whose ecology is tightly tied to sea ice, respond to different sea ice dynamics across large spatial scales is generally unknown. Here, behavioural states (resident and traveling) were estimated using state-space models on adult (n = 45) and subadult (n = 85) ringed seal satellite telemetry tracks from 6 Arctic locations. Tagged ringed seals spanned a wide latitudinal (56.54° to 75.58° N) and sea ice phenological range from short (1 to 2 mo) to longer (6 mo) ice-free periods. We assessed the influences of age class and several intra-and inter-annual environmental variables on ringed seal movement ecology. Both adults and subadults spent most of the icefree season in a resident state (93 and 77%, respectively). A latitudinal gradient was characterised, where longer ice-free seasons and less inter-annual variability in sea ice phenology at lower latitudes were related to ringed seals spending more time in a resident state than their conspecifics at higher latitudes (90 versus 58%, respectively), where the ice-free season was shorter and sea ice phenology between years was less synchronous. Ringed seals are responding to latitudinal differences in sea ice phenology which affect prey distribution, suggesting plasticity in their foraging decisions and spatiotemporal differences in prey distribution across the rapidly changing Arctic.",Animal movement | Arctic | Climate change | Foraging behaviour | Marine mammal | Spatial ecology,8,1,,undefined,
247,2-s2.0-85002701973,10.1126/science.aah6603,,27940840,Now is the time to protect the Arctic,le,Hussey N.,60019544;60015913;60012468,Macquarie University;Dalhousie University;University of Windsor,Sydney;Halifax;Windsor,Australia;Canada;Canada,3,"Hussey, Nigel E.;Harcourt, Robert G.;Auger-Méthé, Marie",26655541500;7005654071;26656620700,60012468;60019544;60015913,2016-12-09,9 December 2016,Science,00368075,23571,10959203,Journal,354,6317,,1243,,,3,0,,undefined,
248,2-s2.0-85008474398,10.1670/15-152,,,"Vocal Behavior of the Explosively Breeding Neotropical Yellow Toad, Incilius luetkenii",ar,Rehberg-Besler N.,60012468,University of Windsor,Windsor,Canada,3,"Rehberg-Besler, Nick;Doucet, Stephanie M.;Mennill, Daniel J.",56938696600;7003298791;6603983826,60012468;60012468;60012468,2016-12-01,1 December 2016,Journal of Herpetology,00221511,22562,,Journal,50,4,,502-508,"© Copyright 2016 Society for the Study of Amphibians and Reptiles. Frogs and toads exhibit complex vocal behavior, often in the context of mating and resource defense. Although over 6,500 species of frogs and toads have been described, detailed accounts of vocal behavior exist for very few species. In this study, we provide the first detailed investigation of the vocal behavior of Neotropical Yellow Toads, Incilius luetkenii, based on recordings collected from animals in northwestern Costa Rica. We provide quantitative measurements of two call types, we test the hypothesis that male body size is related to the structure of male calls, we investigate the context in which males produce calls, and we discuss the importance of their vocal behavior in the framework of an aggressive scramble competition mating system. We found that male I. luetkenii produce two vocalizations during their explosive breeding aggregations: advertisement calls and release calls. Advertisement calls are 2.5 sec-long vocalizations consisting of a series of pulses. Release calls are 0.6 sec-long vocalizations consisting of a small number of pulses and produced when other males attempt amplexus on them. As predicted, spectral properties of advertisement calls were inversely related to body size. Video analysis of male calling behavior revealed a call rate of 0.58 calls per minute and revealed that most advertisement calls occur within 2 sec following a contact with another male. Our findings suggest that advertisement calls and, by extension, chorusing behavior are associated with aggression between males during mating aggregations and that males may communicate acoustic information about their body size during male-male encounters.",,1,0,,-13-16,Government of Ontario
249,2-s2.0-85028252009,10.1002/jez.2058,,28101914,Prenatal Stress Exposure Generates Higher Early Survival and Smaller Size without Impacting Developmental Rate in a Pacific Salmon,ar,Capelle P.,60012468;113408085,University of Windsor;Yellow Island Aquaculture Ltd.,Windsor,Canada;Canada,5,"Capelle, Pauline M.;Semeniuk, Christina A.D.;Sopinka, Natalie M.;Heath, John W.;Love, Oliver P.",57189973391;36948807000;33068380800;7201645856;6603082825,60012468;60012468;60012468;113408085;60012468,2016-12-01,1 December 2016,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,19325223,5200153114,19325231,Journal,325,10,,641-650,"© 2017 Wiley Periodicals, Inc. Prenatal exposure to elevated glucocorticoids can act as a signal of environmental stress, resulting in modifications to offspring phenotype. While “negative” phenotypic effects (i.e., smaller size, slower growth) are often reported, recent research coupling phenotype with other fitness-related traits has suggested positive impacts of prenatal stress. Using captive Chinook salmon (Oncorhynchus tshawytscha), we treated eggs with biologically relevant cortisol levels—low (300 ng mL−1), high (1,000 ng mL−1), or control (0 ng mL−1)—to examine the early-life impacts of maternally transferred stress hormones on offspring. Specifically, we measured early survival, rate of development, and multiple measures of morphology. Low and high cortisol dosing of eggs resulted in significantly higher survival compared to controls (37% and 24% higher, respectively). Fish reared from high dose eggs were structurally smaller compared to control fish, but despite this variation in structural size, exposure to elevated cortisol did not impact developmental rate. These results demonstrate that elevations in egg cortisol can positively influence offspring fitness through an increase in early survival while also altering phenotype at a critical life-history stage. Overall, these results suggest that exposure to prenatal stress may not always produce apparently negative impacts on offspring fitness and further proposes that complex phenotypic responses should be examined in relevant environmental conditions.",,3,0,,undefined,Pan-Massachusetts Challenge
